C,time
41.0,0.000960344
84.0,0.004464967
56.0,0.002050307
27.0,0.000386792
49.0,0.001683878
113.0,0.012469438
117.0,0.013459652
132.0,0.015971331
91.0,0.005520905
92.0,0.005707576
111.0,0.009134414
75.0,0.003365185
72.0,0.003139623
27.0,0.000299984
72.0,0.00342898
121.0,0.01125116
145.0,0.022116478
45.0,0.00099505
138.0,0.017488447
110.0,0.00885779
45.0,0.00115176
58.0,0.002346294
124.0,0.012602152
59.0,0.002006309
105.0,0.007834223
63.0,0.002873959
110.0,0.008910061
103.0,0.007463255
84.0,0.004524079
111.0,0.008998105
73.0,0.003089491
79.0,0.005628209
57.0,0.001861351
123.0,0.011770916
90.0,0.005386579
82.0,0.00451656
102.0,0.00738346
99.0,0.00696831
87.0,0.004883825
85.0,0.004747476
149.0,0.024678842
35.0,0.000516686
88.0,0.005103638
69.0,0.002790806
136.0,0.016124383
106.0,0.008231967
59.0,0.001957684
142.0,0.021337117
109.0,0.00876585
74.0,0.003199894
54.0,0.002264445
62.0,0.002089855
101.0,0.007311408
61.0,0.002247928
101.0,0.00733581
72.0,0.003123789
32.0,0.000609791
102.0,0.007299721
66.0,0.002597637
127.0,0.01335827
86.0,0.004907172
99.0,0.006791711
123.0,0.011726306
35.0,0.00052286
59.0,0.002164025
127.0,0.012887821
113.0,0.009685242
124.0,0.01230421
79.0,0.003746159
88.0,0.004953956
27.0,0.000341381
42.0,0.001156157
71.0,0.003007252
20.0,0.000155182
70.0,0.003055225
69.0,0.00284818
113.0,0.009740831
142.0,0.019181371
62.0,0.002074457
116.0,0.010427138
135.0,0.015630664
37.0,0.00066642
44.0,0.001268947
89.0,0.005129858
111.0,0.009293953
80.0,0.003969635
69.0,0.00383699
77.0,0.003680454
109.0,0.008622251
132.0,0.014713362
107.0,0.008448836
107.0,0.008301906
77.0,0.003585961
93.0,0.006239859
33.0,0.00059206
39.0,0.000978028
123.0,0.012397666
81.0,0.004082233
119.0,0.010891949
98.0,0.006616253
36.0,0.00065437
40.0,0.001029109
42.0,0.001129042
38.0,0.000921397
105.0,0.00788274
121.0,0.011328366
75.0,0.003345858
133.0,0.014954045
104.0,0.007929034
72.0,0.003027733
68.0,0.002639291
141.0,0.018616137
58.0,0.001786371
52.0,0.00152124
37.0,0.000864563
22.0,0.000241642
40.0,0.001043995
73.0,0.003064133
67.0,0.00263852
48.0,0.001697917
112.0,0.009525629
31.0,0.000501206
139.0,0.019036984
139.0,0.017506603
22.0,0.000186816
145.0,0.022790913
81.0,0.004062709
75.0,0.004707612
143.0,0.019303476
41.0,0.00092721
60.0,0.00205697
86.0,0.004681729
82.0,0.004355769
139.0,0.01739013
105.0,0.008128925
150.0,0.025282991
23.0,0.000203915
89.0,0.005255743
120.0,0.010960001
125.0,0.013012356
70.0,0.002902185
42.0,0.001183774
63.0,0.002252373
65.0,0.003451364
146.0,0.023226509
69.0,0.002687377
59.0,0.002373817
37.0,0.000859432
68.0,0.002839397
96.0,0.006256628
104.0,0.007932323
150.0,0.025443564
61.0,0.002134865
41.0,0.001107836
39.0,0.000981853
126.0,0.0133968
106.0,0.007975262
22.0,0.00018328
35.0,0.000619702
147.0,0.023779236
138.0,0.017359336
117.0,0.010601117
103.0,0.007563232
29.0,0.000352438
50.0,0.001589071
34.0,0.000699266
98.0,0.006704873
69.0,0.002825216
147.0,0.024139901
147.0,0.023858693
42.0,0.000948058
143.0,0.019539456
34.0,0.000516944
105.0,0.007856261
85.0,0.004743866
119.0,0.010800272
137.0,0.01699338
47.0,0.001142804
87.0,0.005236573
103.0,0.007748652
76.0,0.003438685
49.0,0.00132795
124.0,0.012039945
100.0,0.00714863
64.0,0.0024287
53.0,0.00218939
124.0,0.012402213
66.0,0.002571914
83.0,0.004431276
102.0,0.00737503
120.0,0.011420466
130.0,0.014519518
73.0,0.003262185
33.0,0.000443565
70.0,0.002863585
121.0,0.011534585
73.0,0.003118448
53.0,0.002158984
76.0,0.003480435
48.0,0.001513023
26.0,0.000362559
44.0,0.001353943
146.0,0.023304268
84.0,0.00436472
76.0,0.003576064
28.0,0.000328434
92.0,0.005714751
104.0,0.007793486
105.0,0.007927881
25.0,0.000274954
133.0,0.01535064
50.0,0.001394062
141.0,0.020729297
91.0,0.005460739
105.0,0.008116517
114.0,0.009702126
53.0,0.001563943
42.0,0.001179244
146.0,0.023200549
92.0,0.005607158
126.0,0.013336459
53.0,0.001615417
131.0,0.014692069
38.0,0.000732817
93.0,0.005757008
122.0,0.013264781
66.0,0.002393965
100.0,0.007077664
53.0,0.001467694
55.0,0.001750538
111.0,0.009283815
58.0,0.001933292
119.0,0.011013836
27.0,0.000343574
72.0,0.002983577
148.0,0.024269632
101.0,0.007322328
133.0,0.014699638
138.0,0.017237772
57.0,0.001893819
126.0,0.012783743
129.0,0.013782868
51.0,0.001394744
70.0,0.003634027
145.0,0.020331954
74.0,0.003250259
117.0,0.010415353
88.0,0.00508103
29.0,0.000466566
30.0,0.000516423
79.0,0.003876453
20.0,0.000168203
33.0,0.000625591
84.0,0.004603485
32.0,0.00053304
106.0,0.008274321
137.0,0.016553287
31.0,0.000389383
115.0,0.00976112
72.0,0.003221437
107.0,0.008516284
82.0,0.004358904
77.0,0.003608912
105.0,0.008038915
147.0,0.023840549
29.0,0.000356628
