C,time
24.0,0.000231699
66.0,0.001991686
126.0,0.00887205
96.0,0.003659246
110.0,0.006535674
136.0,0.012109652
29.0,0.000200732
59.0,0.001066692
38.0,0.00052466
145.0,0.014688513
38.0,0.000342139
147.0,0.01388177
33.0,0.000251331
139.0,0.011847082
86.0,0.00331041
124.0,0.008953932
120.0,0.007854139
136.0,0.011158537
48.0,0.000696434
63.0,0.001179289
79.0,0.002221205
80.0,0.003206425
48.0,0.00087729
34.0,0.000270787
23.0,0.000114684
100.0,0.004483314
149.0,0.015710861
30.0,0.00019296
87.0,0.002971752
89.0,0.003974077
138.0,0.012523137
110.0,0.00610739
72.0,0.001940349
34.0,0.000373022
56.0,0.001299127
33.0,0.000253954
129.0,0.009212628
73.0,0.001943139
150.0,0.015778268
32.0,0.000247074
129.0,0.010346307
51.0,0.000753817
61.0,0.001374987
25.0,0.000173949
97.0,0.003725326
57.0,0.00097078
87.0,0.003736498
21.0,0.000124743
114.0,0.007137578
89.0,0.003510929
95.0,0.004835159
25.0,0.000147557
148.0,0.014725188
21.0,9.9324e-5
48.0,0.000643923
88.0,0.003342428
146.0,0.014790601
53.0,0.000836178
147.0,0.015133025
68.0,0.001380692
53.0,0.000848042
111.0,0.006623077
121.0,0.008205032
108.0,0.00615258
34.0,0.000255753
124.0,0.008447775
131.0,0.010013559
68.0,0.001468162
133.0,0.01143732
76.0,0.002143957
65.0,0.001516434
140.0,0.013184545
115.0,0.006947806
42.0,0.000416664
31.0,0.00024829
130.0,0.010318173
47.0,0.000748899
107.0,0.006098725
61.0,0.001676336
131.0,0.010369084
84.0,0.003075427
42.0,0.000658755
26.0,0.000205346
119.0,0.008229737
38.0,0.000354808
99.0,0.004833633
50.0,0.000984382
123.0,0.009160805
117.0,0.006775927
138.0,0.012183665
129.0,0.009551988
35.0,0.000278562
115.0,0.0076303
49.0,0.000700931
101.0,0.005034516
86.0,0.003194012
125.0,0.008953543
22.0,9.8346e-5
29.0,0.000191833
70.0,0.001579344
46.0,0.000746835
133.0,0.011223957
57.0,0.000902104
70.0,0.001619288
86.0,0.003578571
30.0,0.000277208
122.0,0.008816909
83.0,0.00268998
92.0,0.004591294
83.0,0.002806956
33.0,0.000332631
92.0,0.004563787
87.0,0.003097396
42.0,0.000613813
66.0,0.001967982
84.0,0.002726126
135.0,0.010927515
29.0,0.000202116
96.0,0.00420174
31.0,0.000243473
113.0,0.006564671
134.0,0.01155883
118.0,0.007708731
109.0,0.006524535
120.0,0.007918306
62.0,0.001147688
30.0,0.000251257
131.0,0.010747361
146.0,0.014591725
106.0,0.005899429
140.0,0.012296876
95.0,0.0043812
146.0,0.013732085
113.0,0.007032129
46.0,0.000589148
31.0,0.000220247
144.0,0.014021088
40.0,0.000401542
23.0,0.000107826
75.0,0.002114321
80.0,0.00321557
30.0,0.000272644
144.0,0.013997043
37.0,0.000342473
27.0,0.000185594
54.0,0.000823115
95.0,0.003644277
83.0,0.003633968
138.0,0.01224077
21.0,9.4602e-5
51.0,0.00075843
137.0,0.012329207
33.0,0.000242611
58.0,0.001084602
130.0,0.010677551
62.0,0.001160913
148.0,0.013913982
139.0,0.012765202
102.0,0.005178645
127.0,0.008764532
98.0,0.004616789
105.0,0.004889468
103.0,0.004609373
111.0,0.00592771
89.0,0.003595226
71.0,0.001605763
89.0,0.003910809
70.0,0.001499555
84.0,0.002637761
70.0,0.002262363
25.0,0.000178268
143.0,0.013943698
22.0,0.000100088
79.0,0.002581353
127.0,0.008840394
140.0,0.013133162
98.0,0.00458589
99.0,0.004314921
133.0,0.011474017
130.0,0.00972378
116.0,0.00700967
60.0,0.001129623
113.0,0.006315382
114.0,0.007469347
23.0,0.000123852
119.0,0.00723375
58.0,0.000952296
77.0,0.002035007
73.0,0.002578401
65.0,0.001920895
86.0,0.002744078
41.0,0.000431921
82.0,0.003230773
106.0,0.005056907
115.0,0.007657818
39.0,0.00052053
74.0,0.002555496
51.0,0.000730082
121.0,0.007481578
85.0,0.003107358
120.0,0.008078471
111.0,0.006919022
81.0,0.002689309
118.0,0.007438063
59.0,0.001069562
144.0,0.012956903
32.0,0.000240378
62.0,0.001151846
38.0,0.000494925
65.0,0.001778432
108.0,0.006033567
77.0,0.001967923
98.0,0.004443287
121.0,0.008520638
110.0,0.005626588
38.0,0.000491484
91.0,0.003861143
42.0,0.000671794
84.0,0.003634299
150.0,0.014557106
115.0,0.007621869
89.0,0.003644258
116.0,0.007956933
62.0,0.001653728
129.0,0.009282817
111.0,0.006295952
125.0,0.009091076
116.0,0.007764031
31.0,0.000237177
107.0,0.005933328
66.0,0.001506561
26.0,0.000199702
42.0,0.000620979
140.0,0.01307889
55.0,0.00089662
99.0,0.004931648
44.0,0.000595899
90.0,0.004093465
78.0,0.002167213
68.0,0.002061752
48.0,0.00088077
75.0,0.00277751
68.0,0.001472935
34.0,0.000338773
101.0,0.005304615
102.0,0.005217773
149.0,0.015783925
96.0,0.004336427
59.0,0.001451789
59.0,0.001475794
118.0,0.007852398
86.0,0.003054241
22.0,0.00010678
88.0,0.004056634
122.0,0.008805976
91.0,0.003804629
23.0,0.000139457
84.0,0.00247211
35.0,0.000293824
98.0,0.004261395
55.0,0.00121135
119.0,0.008055898
122.0,0.007809608
147.0,0.015317512
58.0,0.001003069
142.0,0.012914242
73.0,0.002046433
123.0,0.00805029
120.0,0.008469286
136.0,0.011931515
75.0,0.002236175
135.0,0.01076043
31.0,0.000229331
96.0,0.00384312
59.0,0.00104212
128.0,0.010046728
57.0,0.000962043
66.0,0.001329299
77.0,0.002438629
57.0,0.001356151
51.0,0.001039399
134.0,0.010752565
112.0,0.006921755
25.0,0.000129563
149.0,0.015203736
69.0,0.00167563
100.0,0.004582334
83.0,0.003478233
83.0,0.00280821
22.0,0.000128539
39.0,0.000516792
52.0,0.001083186
142.0,0.012738995
44.0,0.000552055
105.0,0.005459962
36.0,0.000292886
35.0,0.000331241
36.0,0.00041181
104.0,0.00493548
140.0,0.012606222
54.0,0.00082256
22.0,9.874e-5
86.0,0.002814622
100.0,0.005315414
59.0,0.001087907
83.0,0.003719886
138.0,0.012328691
94.0,0.003584737
69.0,0.001610848
29.0,0.000247981
26.0,0.000198963
36.0,0.000431306
66.0,0.001961115
63.0,0.001798257
22.0,0.000143909
68.0,0.001355864
111.0,0.006213478
53.0,0.000799076
55.0,0.000961114
83.0,0.003366921
30.0,0.000279884
141.0,0.013525382
64.0,0.001268023
135.0,0.011271569
130.0,0.010736864
145.0,0.014423096
107.0,0.005709212
119.0,0.007166781
115.0,0.007299534
53.0,0.000769669
67.0,0.001380679
45.0,0.000709485
27.0,0.000215053
121.0,0.008439181
85.0,0.003313056
127.0,0.008700047
67.0,0.001396789
109.0,0.005768652
89.0,0.003655293
45.0,0.00053813
63.0,0.001246402
54.0,0.001088004
115.0,0.007432152
41.0,0.000469687
106.0,0.005617278
35.0,0.000284919
123.0,0.007751604
108.0,0.00554593
144.0,0.014212201
117.0,0.007693888
123.0,0.008898665
30.0,0.000210994
60.0,0.001311359
31.0,0.000292976
112.0,0.006803632
133.0,0.010470241
38.0,0.000348255
21.0,8.7422e-5
42.0,0.000486814
46.0,0.000731913
54.0,0.001064254
53.0,0.001100798
100.0,0.004859953
134.0,0.010400599
50.0,0.000696276
61.0,0.001163478
21.0,0.000117262
148.0,0.014735545
51.0,0.000753335
50.0,0.000935965
89.0,0.002954927
96.0,0.004544325
71.0,0.001601488
50.0,0.00071344
59.0,0.001355101
28.0,0.000241946
46.0,0.000794349
30.0,0.000274805
107.0,0.005783408
103.0,0.005345321
150.0,0.015822349
97.0,0.004687964
80.0,0.002561845
61.0,0.001607696
45.0,0.000774702
133.0,0.01085384
96.0,0.004421101
26.0,0.000205946
78.0,0.001989511
34.0,0.000253879
81.0,0.002942015
75.0,0.002783737
132.0,0.010117439
113.0,0.006288103
55.0,0.000947659
98.0,0.004694255
34.0,0.00025528
103.0,0.005669003
141.0,0.01252362
91.0,0.003585762
47.0,0.000787342
119.0,0.008103684
106.0,0.005636086
100.0,0.004297187
50.0,0.000693112
136.0,0.011577393
117.0,0.007723072
30.0,0.000193947
146.0,0.013920196
61.0,0.001098583
60.0,0.001094867
125.0,0.008693663
74.0,0.002313868
36.0,0.000301055
60.0,0.001044434
120.0,0.007924786
124.0,0.008139069
98.0,0.004621158
48.0,0.000630891
61.0,0.001414918
24.0,0.000167105
57.0,0.001358303
116.0,0.006801654
110.0,0.005861713
116.0,0.00769394
39.0,0.000503821
31.0,0.000289268
137.0,0.011876905
113.0,0.006181268
148.0,0.014368981
120.0,0.00821757
52.0,0.001043171
31.0,0.000282041
22.0,0.000137764
67.0,0.001392057
47.0,0.000662686
124.0,0.008896137
31.0,0.000211741
49.0,0.000716176
28.0,0.000232279
53.0,0.001102922
144.0,0.014078243
103.0,0.005339337
148.0,0.014377942
103.0,0.004734491
61.0,0.001170764
148.0,0.014582375
110.0,0.006367496
125.0,0.009379366
127.0,0.009883972
64.0,0.001249566
35.0,0.000382831
71.0,0.002233819
140.0,0.012666033
112.0,0.006308083
41.0,0.00042793
86.0,0.003524678
150.0,0.014917468
83.0,0.002860439
142.0,0.012416878
100.0,0.004237237
149.0,0.015122644
132.0,0.010599071
144.0,0.014271477
59.0,0.001071617
