C,time
138.0,0.006263803
136.0,0.006359699
61.0,0.000766406
135.0,0.005747767
107.0,0.003105531
119.0,0.004585968
106.0,0.003033366
114.0,0.003640118
58.0,0.000652163
132.0,0.00555308
21.0,8.1511e-5
123.0,0.004497064
35.0,0.000200418
75.0,0.0012091
106.0,0.002989743
119.0,0.00401844
31.0,0.0001904
99.0,0.00250495
137.0,0.006604447
61.0,0.000789228
103.0,0.002720214
134.0,0.005668816
29.0,0.000140075
111.0,0.003333303
79.0,0.001340414
147.0,0.007222504
89.0,0.001905318
150.0,0.008141048
117.0,0.004040583
31.0,0.000162419
35.0,0.000196894
99.0,0.002453992
75.0,0.00120445
102.0,0.002650967
62.0,0.000733511
55.0,0.000548312
57.0,0.000628902
22.0,7.6885e-5
97.0,0.002359979
69.0,0.001057668
117.0,0.005216504
127.0,0.004850285
44.0,0.0003423
107.0,0.003054197
26.0,0.000123848
126.0,0.004674865
67.0,0.00093084
40.0,0.000260544
74.0,0.001160443
46.0,0.000362446
117.0,0.003895378
133.0,0.005466785
48.0,0.000524519
23.0,9.3682e-5
116.0,0.005300841
66.0,0.000854313
107.0,0.003061399
77.0,0.001300142
78.0,0.001307072
116.0,0.003791805
34.0,0.000236996
81.0,0.001513165
50.0,0.000487292
44.0,0.00032826
145.0,0.006995745
110.0,0.003279459
109.0,0.003790292
109.0,0.003184185
120.0,0.004125326
39.0,0.000242484
147.0,0.007217906
131.0,0.005247402
142.0,0.006666772
71.0,0.001276431
56.0,0.000686812
98.0,0.002451316
39.0,0.000245811
78.0,0.001296968
27.0,0.000126825
63.0,0.000766491
110.0,0.003248751
96.0,0.002275646
69.0,0.000974078
124.0,0.004497939
69.0,0.001460477
27.0,0.000127697
56.0,0.000539108
42.0,0.000295538
122.0,0.00436788
22.0,8.2155e-5
142.0,0.006517156
113.0,0.00352548
135.0,0.005600338
113.0,0.003539478
103.0,0.002755738
67.0,0.000955578
89.0,0.0018719
138.0,0.006001013
45.0,0.000349071
42.0,0.000323046
105.0,0.002930611
113.0,0.003546032
82.0,0.001516615
115.0,0.003660975
26.0,0.000112201
135.0,0.005608699
127.0,0.004800592
137.0,0.005877116
44.0,0.000460227
133.0,0.005454117
39.0,0.000250979
127.0,0.004777369
130.0,0.005683047
47.0,0.000427429
123.0,0.004404633
119.0,0.003938879
87.0,0.001685638
55.0,0.000544995
86.0,0.001857489
120.0,0.004113503
127.0,0.00474473
127.0,0.004833732
132.0,0.005367391
44.0,0.000341724
34.0,0.000187872
134.0,0.005500314
60.0,0.000715729
148.0,0.007657743
22.0,8.7277e-5
71.0,0.001012246
116.0,0.003769406
24.0,9.9211e-5
98.0,0.002368515
76.0,0.00132841
112.0,0.003390975
143.0,0.006585814
95.0,0.002179882
69.0,0.001129862
122.0,0.004945331
133.0,0.005452719
73.0,0.001138357
83.0,0.00157119
109.0,0.003170161
92.0,0.002052291
28.0,0.000123221
109.0,0.003154193
39.0,0.000267563
113.0,0.003560351
31.0,0.000158409
95.0,0.0021467
150.0,0.007509512
131.0,0.005251847
140.0,0.007066267
46.0,0.000415167
48.0,0.000626537
149.0,0.007346451
37.0,0.000233001
23.0,9.309e-5
133.0,0.005444334
82.0,0.001522214
96.0,0.002231184
51.0,0.00047557
39.0,0.000376054
56.0,0.000878248
89.0,0.001930936
146.0,0.007098425
84.0,0.001657463
109.0,0.003162307
53.0,0.000504505
138.0,0.006026604
132.0,0.005462777
148.0,0.007330505
44.0,0.000439707
116.0,0.003730692
53.0,0.000525805
132.0,0.005337398
116.0,0.003727198
110.0,0.003267977
117.0,0.003929701
83.0,0.001564293
148.0,0.007549767
135.0,0.005623669
136.0,0.005730237
100.0,0.002594046
131.0,0.005330822
135.0,0.005606109
43.0,0.000400549
22.0,8.3081e-5
44.0,0.000414876
146.0,0.007443134
92.0,0.002054464
86.0,0.001681353
67.0,0.000881687
68.0,0.000925135
24.0,9.2331e-5
102.0,0.002698658
107.0,0.003179665
97.0,0.002358134
43.0,0.000321615
79.0,0.001335526
40.0,0.000251939
147.0,0.007645118
135.0,0.005640422
124.0,0.004507549
44.0,0.000335922
139.0,0.006186965
23.0,9.4277e-5
127.0,0.004700485
113.0,0.003506714
46.0,0.000493141
82.0,0.00175075
72.0,0.001223187
55.0,0.000600666
37.0,0.000226402
128.0,0.004818493
38.0,0.00022047
22.0,6.8664e-5
108.0,0.003088492
62.0,0.000725764
30.0,0.000136795
56.0,0.000553752
69.0,0.000953376
94.0,0.002300843
140.0,0.006337987
27.0,0.000130344
111.0,0.003298006
35.0,0.000197871
43.0,0.000313625
55.0,0.000538938
72.0,0.001007419
39.0,0.000288399
32.0,0.000181084
110.0,0.003795704
33.0,0.000205464
61.0,0.000703023
40.0,0.000241474
94.0,0.002133446
72.0,0.001056525
124.0,0.004514152
137.0,0.005966396
126.0,0.004719181
118.0,0.003996408
85.0,0.00217749
